,City ID,City Name,Country Code,Latitude,Longitude,Temperature,Pressure,Humidity,Cloudiness,Wind Speed
0,1635815,maumere,id,-8.63,122.22,81.41,1013.12,100.0,56.0,3.71
1,559643,gorodishche,ru,53.27,45.7,41.36,1002.5,87.0,0.0,7.74
2,2206900,westport,nz,-41.75,171.6,42.26,982.07,92.0,0.0,6.4
3,778707,mehamn,no,71.03,27.85,30.38,1010.69,93.0,88.0,9.42
4,3369157,cape town,za,-33.93,18.42,63.68,1028.92,84.0,0.0,26.08
5,2155415,new norfolk,au,-42.78,147.06,52.16,982.97,88.0,88.0,6.73
6,5052916,willmar,us,45.12,-95.04,30.38,990.99,100.0,44.0,9.75
7,1039536,maxixe,mz,-23.86,35.35,78.08,1021.22,96.0,12.0,6.4
8,4732862,nome,us,30.04,-94.42,70.88,1037.6,64.0,0.0,9.75
9,3355672,luderitz,na,-26.65,15.16,64.13,1011.26,80.0,0.0,13.11
10,540761,kropotkin,ru,45.43,40.58,58.46,1014.09,63.0,0.0,9.19
11,4033557,tautira,pf,-17.73,-149.15,81.14,1024.63,100.0,64.0,10.42
12,986717,kruisfontein,za,-34.0,24.73,65.12,1028.44,100.0,0.0,11.43
13,3610251,el suyatal,hn,14.54,-87.21,77.54,916.01,67.0,8.0,2.93
16,4036284,alofi,nu,-19.06,-169.92,82.04,1021.22,97.0,36.0,14.45
17,2075265,busselton,au,-33.64,115.35,64.4,1032.25,100.0,64.0,13.11
18,3671519,puerto carreno,co,6.19,-67.49,73.31,953.62,100.0,92.0,3.04
19,2206939,bluff,nz,-46.6,168.33,51.26,1026.25,100.0,92.0,24.29
20,3863379,mar del plata,ar,-46.43,-67.52,57.92,982.56,45.0,0.0,22.39
22,2093059,kundiawa,pg,-6.02,144.97,56.75,811.44,97.0,32.0,2.04
23,3581164,san pedro,bz,17.92,-87.97,85.46,1027.47,75.0,20.0,14.67
24,3590069,san jose,gt,16.98,-89.9,95.45,1003.96,40.0,8.0,3.94
25,4035715,avarua,ck,-21.21,-159.78,81.14,1023.09,98.0,56.0,23.73
26,512576,parfenyevo,ru,58.48,43.41,31.19,1008.82,90.0,88.0,12.21
27,3366880,hermanus,za,-34.42,19.24,60.8,997.64,73.0,32.0,10.09
28,964432,port alfred,za,-33.59,26.89,68.36,1027.06,91.0,8.0,13.67
29,2077963,albany,au,-35.02,117.88,55.13,1019.36,96.0,88.0,5.73
30,5887798,assiniboia,ca,49.63,-105.99,35.24,942.68,100.0,48.0,4.16
31,1851713,shobara,jp,34.92,133.05,54.5,976.16,75.0,88.0,9.64
32,2181625,te anau,nz,-45.41,167.72,35.78,962.86,95.0,48.0,5.61
33,2181133,pareora,nz,-44.49,171.21,39.29,983.61,100.0,36.0,15.68
34,3833367,ushuaia,ar,-54.81,-68.31,40.91,945.76,90.0,32.0,10.65
36,1624041,ternate,id,0.8,127.4,81.14,1019.6,100.0,44.0,4.83
37,3424607,tasiilaq,gl,65.61,-37.64,28.31,1012.88,99.0,92.0,24.85
38,1490256,talnakh,ru,69.49,88.39,12.2,1009.31,61.0,56.0,3.94
39,370481,marawi,sd,18.48,31.82,77.27,986.37,17.0,0.0,9.42
40,3665098,barcelos,br,-0.97,-62.93,92.84,1018.14,51.0,24.0,4.94
41,1106677,bambous virieux,mu,-20.34,57.76,76.01,1014.9,94.0,32.0,1.03
42,1218436,sayat,tm,38.78,63.88,48.11,1017.9,37.0,0.0,9.31
43,3833367,ushuaia,ar,-54.81,-68.31,40.91,945.76,90.0,32.0,10.65
44,3366880,hermanus,za,-34.42,19.24,60.8,997.64,73.0,32.0,10.09
45,4030556,rikitea,pf,-23.12,-134.97,80.06,1032.49,100.0,24.0,10.54
46,3471451,arraial do cabo,br,-22.97,-42.02,80.69,1029.98,77.0,0.0,10.87
47,2173911,broken hill,au,-31.97,141.45,59.81,998.93,52.0,0.0,3.15
48,6170031,tuktoyaktuk,ca,69.44,-133.03,3.02,1037.44,86.0,0.0,16.02
49,3516271,nuevo laredo,mx,21.35,-98.18,70.43,1027.3,100.0,92.0,12.77
50,2527089,tiznit,ma,29.7,-9.73,59.99,1013.85,79.0,44.0,12.66
51,5882953,aklavik,ca,68.22,-135.01,3.11,1032.65,85.0,0.0,11.21
52,2267254,lagoa,pt,37.14,-8.45,53.51,1001.61,92.0,68.0,17.81
53,6087579,new glasgow,ca,45.59,-62.65,38.03,1024.14,53.0,20.0,4.16
54,4030556,rikitea,pf,-23.12,-134.97,80.06,1032.49,100.0,24.0,10.54
55,4032243,vaini,to,-21.2,-175.2,78.71,1014.74,100.0,92.0,37.6
56,4032243,vaini,to,-21.2,-175.2,78.71,1014.74,100.0,92.0,37.6
57,4035715,avarua,ck,-21.21,-159.78,81.14,1023.09,98.0,56.0,23.73
58,6165406,thompson,ca,55.74,-97.86,23.36,996.02,60.0,20.0,8.75
60,5855927,hilo,us,19.71,-155.08,73.31,1025.12,100.0,48.0,17.25
61,6943832,riviere-au-renard,ca,49.0,-64.4,29.21,1031.11,100.0,8.0,9.42
62,1337607,kudahuvadhoo,mv,2.67,72.89,83.39,1023.49,100.0,32.0,8.97
63,2156643,mount gambier,au,-37.83,140.78,58.91,1022.36,94.0,12.0,3.15
64,1789001,kaihua,cn,29.14,118.41,55.67,979.32,80.0,0.0,3.6
65,2177541,atherton,au,-17.27,145.48,61.7,936.36,91.0,8.0,12.66
66,2155415,new norfolk,au,-42.78,147.06,52.16,982.97,88.0,88.0,6.73
67,2075265,busselton,au,-33.64,115.35,64.4,1032.25,100.0,64.0,13.11
68,64814,bandarbeyla,so,9.49,50.81,80.69,1018.47,100.0,88.0,5.39
69,5855927,hilo,us,19.71,-155.08,73.31,1025.12,100.0,48.0,17.25
70,4030556,rikitea,pf,-23.12,-134.97,80.06,1032.49,100.0,24.0,10.54
71,3833367,ushuaia,ar,-54.81,-68.31,40.91,945.76,90.0,32.0,10.65
72,3369157,cape town,za,-33.93,18.42,63.68,1028.92,84.0,0.0,26.08
73,1244926,hambantota,lk,6.12,81.12,80.15,1020.17,100.0,12.0,2.15
74,3652764,puerto ayora,ec,-0.74,-90.35,78.26,1020.49,90.0,0.0,6.85
75,3449293,sao domingos,br,-13.4,-46.32,81.32,935.63,70.0,32.0,6.96
76,3833883,trelew,ar,-43.25,-65.31,74.66,994.88,31.0,24.0,19.71
77,4252975,barrow,us,39.51,-90.4,44.24,1018.79,90.0,8.0,4.61
78,4030556,rikitea,pf,-23.12,-134.97,80.06,1032.49,100.0,24.0,10.54
79,1865309,katsuura,jp,33.93,134.5,57.29,1011.99,74.0,8.0,7.74
80,2020738,litovko,ru,49.24,135.18,30.56,1002.58,67.0,80.0,3.38
81,2071860,esperance,au,-33.86,121.89,52.16,1018.95,90.0,0.0,6.4
82,6355222,yulara,au,-25.24,130.99,75.65,954.84,32.0,68.0,7.18
83,471430,votkinsk,ru,57.05,53.99,36.41,1007.2,88.0,12.0,14.45
84,3883457,lebu,cl,-37.62,-73.65,57.11,1017.41,94.0,92.0,22.5
85,5781993,springville,us,40.17,-111.61,54.59,821.74,32.0,12.0,2.37
86,2074865,carnarvon,au,-24.87,113.63,73.49,1028.44,94.0,0.0,27.54
87,86049,jalu,ly,29.03,21.55,81.41,1015.79,24.0,0.0,6.96
88,4030556,rikitea,pf,-23.12,-134.97,80.06,1032.49,100.0,24.0,10.54
89,4030556,rikitea,pf,-23.12,-134.97,80.06,1032.49,100.0,24.0,10.54
90,2455290,kidal,ml,18.44,1.41,93.29,967.16,10.0,0.0,4.16
91,4032243,vaini,to,-21.2,-175.2,78.71,1014.74,100.0,92.0,37.6
92,1162813,vihari,pk,30.03,72.35,73.85,1005.99,69.0,56.0,3.04
93,934322,mahebourg,mu,-20.41,57.7,76.01,1014.9,94.0,32.0,1.03
95,3389622,santa helena,br,-2.23,-45.3,77.27,1018.55,97.0,92.0,10.98
96,1524298,aksu,kz,52.04,76.93,33.8,1019.0,79.0,90.0,8.95
97,3833367,ushuaia,ar,-54.81,-68.31,40.91,945.76,90.0,32.0,10.65
98,3423146,ilulissat,gl,69.22,-51.1,20.21,992.69,89.0,32.0,5.73
99,3366880,hermanus,za,-34.42,19.24,60.8,997.64,73.0,32.0,10.09
100,935214,saint-pierre,re,-21.34,55.48,79.88,1025.93,100.0,48.0,4.61
101,2071860,esperance,au,-33.86,121.89,52.16,1018.95,90.0,0.0,6.4
103,4032243,vaini,to,-21.2,-175.2,78.71,1014.74,100.0,92.0,37.6
104,3831208,qaanaaq,gl,77.48,-69.36,12.38,985.24,89.0,20.0,5.39
106,1794971,shitanjing,cn,39.23,106.34,28.76,849.95,41.0,20.0,1.03
107,1502422,kosh-agach,ru,49.99,88.66,15.62,777.4,57.0,0.0,8.08
108,2208248,kaitangata,nz,-46.28,169.85,44.87,1008.42,86.0,92.0,18.48
109,3883457,lebu,cl,-37.62,-73.65,57.11,1017.41,94.0,92.0,22.5
110,2155415,new norfolk,au,-42.78,147.06,52.16,982.97,88.0,88.0,6.73
111,2155415,new norfolk,au,-42.78,147.06,52.16,982.97,88.0,88.0,6.73
112,5367788,lompoc,us,34.64,-120.46,66.2,1017.0,59.0,1.0,4.7
113,2563140,dingli,mt,35.86,14.38,60.71,1024.14,94.0,88.0,10.2
